	sentence_id	token_id	token	freq	surp
0	0	0	The	0.0537	0.0
1	0	1	company	0.000398	7.843015354378864
2	0	2	supplies	3.02e-05	10.312961197419595
3	0	3	were	0.00219	14.73878310464081
4	0	4	all	0.00331	6.892711236710781
5	0	5	gone	0.000148	6.9687745037023285
6	1	0	The	0.0537	0.0
7	1	1	company	0.000398	7.843015354378864
8	1	2	's	0.000724	13.716592892317843
9	1	3	supplies	3.02e-05	16.451042664660026
10	1	4	were	0.00219	5.198965062228901
11	1	5	all	0.00331	7.695689346516494
12	1	6	gone	0.000148	5.318114029732871
13	2	0	The	0.0537	0.0
14	2	1	company	0.000398	7.843015354378864
15	2	2	supplies	3.02e-05	10.312961197419595
16	2	3	the	0.0537	4.046036983523239
17	2	4	services	0.000204	8.103437451491857
18	2	5	we	0.00347	11.276947185841395
19	2	6	need	0.000933	1.5773855716885048
20	3	0	The	0.0537	0.0
21	3	1	company	0.000398	7.843015354378864
22	3	2	supplied	1.74e-05	12.68491568571104
23	3	3	the	0.0537	2.710392932799204
24	3	4	services	0.000204	9.189376494078866
25	3	5	we	0.00347	11.19439072563572
26	3	6	need	0.000933	5.353582250836975
27	4	0	No	0.00224	0.0
28	4	1	author	8.91e-05	12.881802044088003
29	4	2	that	0.0102	11.231995431958751
30	4	3	the	0.0537	7.902566591076858
31	4	4	senators	1.26e-05	16.78459801613972
32	4	5	liked	5.75e-05	11.251396830963696
33	4	6	has	0.00234	7.738708773792445
34	4	7	ever	0.000457	2.1780248188194897
35	4	8	been	0.00186	1.6999181245676562
36	4	9	popular	0.000117	8.510719916990206
37	5	0	No	0.00224	0.0
38	5	1	author	8.91e-05	12.881802044088003
39	5	2	that	0.0102	11.231995431958751
40	5	3	no	0.00224	11.14923238261994
41	5	4	senators	1.26e-05	18.966294254053597
42	5	5	liked	5.75e-05	12.502097011605427
43	5	6	has	0.00234	8.277286883678642
44	5	7	ever	0.000457	1.5904936903735263
45	5	8	been	0.00186	1.5245256870640151
46	5	9	popular	0.000117	8.50948951265626
47	6	0	The	0.0537	0.0
48	6	1	author	8.91e-05	9.89369697534923
49	6	2	that	0.0102	11.694984500822951
50	6	3	the	0.0537	6.387101589020125
51	6	4	senators	1.26e-05	16.463607226336965
52	6	5	liked	5.75e-05	10.342306042853766
53	6	6	has	0.00234	9.833975329164499
54	6	7	ever	0.000457	10.80346345670797
55	6	8	been	0.00186	2.2844833798063835
56	6	9	popular	0.000117	8.704882554326947
57	7	0	The	0.0537	0.0
58	7	1	author	8.91e-05	9.89369697534923
59	7	2	that	0.0102	11.694984500822951
60	7	3	no	0.00224	11.118823851155089
61	7	4	senators	1.26e-05	17.490987896797265
62	7	5	liked	5.75e-05	11.637651737958919
63	7	6	has	0.00234	9.834601643799544
64	7	7	ever	0.000457	10.198565155843909
65	7	8	been	0.00186	1.540151930764309
66	7	9	popular	0.000117	7.839933631241448
67	8	0	No	0.00224	0.0
68	8	1	pilot	3.31e-05	17.849713488721495
69	8	2	that	0.0102	8.161027423177204
70	8	3	the	0.0537	8.529420930035828
71	8	4	consultants	5.5e-06	16.451156819005448
72	8	5	met	0.000123	7.053573424647237
73	8	6	has	0.00234	6.711240778446534
74	8	7	ever	0.000457	2.930256390325041
75	8	8	been	0.00186	2.636891371483827
76	8	9	famous	6.92e-05	14.56999634403006
77	9	0	No	0.00224	0.0
78	9	1	pilot	3.31e-05	17.849713488721495
79	9	2	that	0.0102	8.161027423177204
80	9	3	no	0.00224	11.781240048122182
81	9	4	consultants	5.5e-06	19.57142920003868
82	9	5	met	0.000123	12.913021543201362
83	9	6	has	0.00234	7.186709457048204
84	9	7	ever	0.000457	2.732782825419279
85	9	8	been	0.00186	2.226737521382839
86	9	9	famous	6.92e-05	12.592498305632837
87	10	0	The	0.0537	0.0
88	10	1	pilot	3.31e-05	12.010292988149011
89	10	2	that	0.0102	9.152855175092618
90	10	3	the	0.0537	6.129634998188683
91	10	4	consultants	5.5e-06	16.085434484156263
92	10	5	met	0.000123	7.953151765024957
93	10	6	has	0.00234	8.620014365545767
94	10	7	ever	0.000457	13.291254245084723
95	10	8	been	0.00186	2.2954724682212153
96	10	9	famous	6.92e-05	12.993531122576922
97	11	0	The	0.0537	0.0
98	11	1	pilot	3.31e-05	12.010292988149011
99	11	2	that	0.0102	9.152855175092618
100	11	3	no	0.00224	11.735218964192637
101	11	4	consultants	5.5e-06	19.173637459667113
102	11	5	met	0.000123	12.288433739381354
103	11	6	has	0.00234	8.025128138745645
104	11	7	ever	0.000457	9.545945373488314
105	11	8	been	0.00186	1.480599139847065
106	11	9	famous	6.92e-05	13.342482772189303
107	12	0	No	0.00224	0.0
108	12	1	doctor	7.94e-05	14.98137175171956
109	12	2	that	0.0102	8.561816287281374
110	12	3	the	0.0537	8.030992802332312
111	12	4	guards	2.09e-05	12.299000121680924
112	12	5	hated	1.58e-05	14.57327622541624
113	12	6	has	0.00234	11.120357113440653
114	12	7	ever	0.000457	1.8203733212764772
115	12	8	had	0.00214	4.6146242879705515
116	12	9	children	0.000295	10.267062077837567
117	13	0	No	0.00224	0.0
118	13	1	doctor	7.94e-05	14.98137175171956
119	13	2	that	0.0102	8.561816287281374
120	13	3	no	0.00224	11.286858318991705
121	13	4	guards	2.09e-05	14.817334586215962
122	13	5	hated	1.58e-05	19.170932886361204
123	13	6	has	0.00234	13.251731076890549
124	13	7	ever	0.000457	3.240567195549076
125	13	8	had	0.00214	5.169185214296103
126	13	9	children	0.000295	10.106131731440312
127	14	0	The	0.0537	0.0
128	14	1	doctor	7.94e-05	11.331738892384836
129	14	2	that	0.0102	9.022734577713303
130	14	3	the	0.0537	6.6296748351679895
131	14	4	guards	2.09e-05	10.571878167115452
132	14	5	hated	1.58e-05	14.806053615381572
133	14	6	has	0.00234	11.012506629086218
134	14	7	ever	0.000457	12.541278250203446
135	14	8	had	0.00214	4.894530875059154
136	14	9	children	0.000295	10.94895721977958
137	15	0	The	0.0537	0.0
138	15	1	doctor	7.94e-05	11.331738892384836
139	15	2	that	0.0102	9.022734577713303
140	15	3	no	0.00224	13.420807459965962
141	15	4	guards	2.09e-05	16.55502235800808
142	15	5	hated	1.58e-05	16.2886160103755
143	15	6	has	0.00234	10.897979941621735
144	15	7	ever	0.000457	9.638775433078985
145	15	8	had	0.00214	4.523738087791515
146	15	9	children	0.000295	10.678417975710191
147	16	0	No	0.00224	0.0
148	16	1	farmer	1.41e-05	14.976723692492216
149	16	2	that	0.0102	7.950420126744411
150	16	3	the	0.0537	8.079059321518336
151	16	4	clerks	2.04e-06	15.9789618656796
152	16	5	discussed	2.82e-05	12.065716760388929
153	16	6	has	0.00234	7.292804242584144
154	16	7	ever	0.000457	2.5490622623091888
155	16	8	been	0.00186	1.6825906986571368
156	16	9	appreciated	1.45e-05	17.4086490943167
157	17	0	No	0.00224	0.0
158	17	1	farmer	1.41e-05	14.976723692492216
159	17	2	that	0.0102	7.950420126744411
160	17	3	no	0.00224	12.255414441821683
161	17	4	clerks	2.04e-06	20.785165951661096
162	17	5	discussed	2.82e-05	17.24166697475662
163	17	6	has	0.00234	9.776673916775447
164	17	7	ever	0.000457	4.204876197470702
165	17	8	been	0.00186	2.1421334431086962
166	17	9	appreciated	1.45e-05	13.78105429391887
